"Mud";"Sand";"Gravel_f";"Rocks";"Macrophytes";"Grass";"Subm_veg";"Overh_veg";"Leaf_l";"Root_masses";"Algae";"Debris";"Temp_C";"DO_mg.L";"Cond_uS.cm";"Turb_ntu";"pH";"Elev_m";"Vel_m.s";"Slope";"Depth_avg_cm";"Width_m"
"S-B-P08-H2";0.120133054154399;0.0736377214995796;0;0;0.263871780465142;0.169907570732215;0.0902895900898906;0.0810220358996557;0.171335640668799;0;0.345887503613428;0.147704468023667;5.27257053058563;2.77488738510232;12.7200628929263;2.60768096208106;2.43515913237718;9.4371076077366;0;1.4142135623731;7.16472842006822;2.14476105895272
"S-B-P08-H3";0.120133054154399;0.0736377214995796;0;0;0.250032893098804;0.263630283319687;0.0902895900898906;0.0810220358996557;0.210365409180629;0;0.298001219593757;0.136676208775092;5.19615242270663;2.54950975679639;12.6015872016187;2.47588368062799;2.42280828791714;9.4371076077366;0.338753742947079;1.4142135623731;5.47722557505166;1.43178210632764
"S-B-P09-H1";0.120133054154399;0.0736377214995796;0;0;0;0;0.127863465955281;0.132551532296674;0.210365409180629;0.236605046303803;0;0.0248784960567547;5.22494019104525;2.81069386451104;12.8646803302686;4.14728827066554;2.56709953059869;8.42751446157169;0.529150262212918;1.73205080756888;3.95811402901264;0.9
"S-B-P09-H2";0.103975454748415;0.104234016916156;0;0;0;0;0.181325933454012;0.123944943796927;0.0381338842499038;0.31991455391385;0;0.0787459546769796;5.18652099195598;2.79284800875379;12.774975538137;4.20713679359253;2.56709953059869;8.42751446157169;0.5;1.73205080756888;3.87298334620742;1.26491106406735
"S-B-P09-H3";0.112340226900395;0.0902283139441445;0;0;0;0;0.181325933454012;0.114708530313698;0.120854688457345;0.31991455391385;0;0.157985579548826;5.15751878329105;2.81069386451104;12.6964561984831;4.18330013267038;2.56709953059869;8.42751446157169;0.589767824619589;1.4142135623731;4.43471156521669;1.15325625946708
"S-B-P10-H1";0.0599580698929003;0.147678579632258;0;0;0.11690849646625;0.119852302420205;0.0902895900898906;0.0330469447921279;0.120854688457345;0;0;0.0964937348171228;5.1478150704935;2.25831795812724;12.4579292019179;4.91934955049954;2.6944387170615;6.44003105582574;0.14824986333222;1.22474487139159;6.37704215656967;2.68328157299975
"S-B-P10-H2";0.0599580698929003;0.147678579632258;0;0;0;0.0378189678730086;0.127863465955281;0.0661300493131706;0.085352888968914;0.105021432907778;0;0.11147930043405;5.12835256198323;2.46981780704569;12.5658266739598;5.89915248150105;2.59036676939772;6.44003105582574;0.14824986333222;1.4142135623731;6.37704215656967;2.68328157299975
"S-B-P10-H3";0.0948875659351544;0.116590225282302;0;0;0;0.208603261001946;0;0;0.0381338842499038;0;0;0.0787459546769796;5.11859355682789;2.21359436211787;12.2351951353462;5.46808924579693;2.57099202643649;6.44003105582574;0.14824986333222;1;6.37704215656967;2.68328157299975
"S-C-P11-H1";0;0.16526140534953;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9.79795897113271;0;1.58113883008419;0;4.27784992724149
"S-C-P11-H2";0;0.16526140534953;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9.79795897113271;0;1.58113883008419;0;3.83275357934736
"S-C-P11-H3";0;0.16526140534953;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9.79795897113271;0;1.58113883008419;0;3.83275357934736
"S-C-P12-H1";0.12745891080238;0.0520461808146089;0;0;0;0;0;0.1406440093825;0.085352888968914;0.0741929800262361;0;0.0704179367832086;5.1478150704935;2.60768096208106;10.9635760589326;2.82842712474619;2.5377155080899;8.94427190999916;0.433310705476203;1;2.3094010767585;0.435889894354067
"S-C-P12-H2";0.12745891080238;0.0520461808146089;0;0;0;0;0;0.136656187888186;0.148197980260823;0.0741929800262361;0;0.11147930043405;5.16720427310553;2.84604989415154;11.0815161417561;1.4142135623731;2.46373699895098;8.94427190999916;0.234863792808026;1.22474487139159;2.64575131106459;0.728010988928052
"S-C-P12-H3";0.12745891080238;0.0520461808146089;0;0;0;0;0;0.1406440093825;0.120854688457345;0;0.170338414861454;0.0964937348171228;5.23450093132096;2.84604989415154;11.3929802949009;3.16227766016838;2.40831891575846;8.94427190999916;0.332516241736845;1.22474487139159;4.12310562561766;1.04403065089106
"S-C-P13-H1";0.0423840485585749;0.156708671764864;0;0;0;0;0.0902895900898906;0.132551532296674;0.085352888968914;0.105021432907778;0;0.0964937348171228;5.21536192416212;2.60768096208106;10.733126291999;3.16227766016838;2.45153013442625;9.32737905308882;0.501795337912858;1;3.55902608401044;0.948683298050514
"S-C-P13-H2";0.0423840485585749;0.156708671764864;0;0;0.11690849646625;0;0;0.0810220358996557;0.120854688457345;0.0741929800262361;0;0.0787459546769796;5.20576603392815;2.73861278752583;11.0634533487515;2.82842712474619;2.44948974278318;9.32737905308882;0.458992546021579;1.4142135623731;3.21455025366431;1.03923048454133
"S-C-P13-H3";0.120133054154399;0.0736377214995796;0;0;0;0;0;0.0935904319454356;0.120854688457345;0.128743504696743;0;0.157985579548826;5.19615242270663;2.56904651573303;10.554619841567;1.4142135623731;2.48797106092495;9.32737905308882;0.146020415081142;1.4142135623731;5;1.22474487139159
"S-C-P14-H1";0.0299655602041395;0.161039851036935;0;0;0;0;0;0.114708530313698;0.085352888968914;0.148798345176716;0;0.12470260049025;5.24404424085076;2.25831795812724;12.0706255016051;2.64575131106459;2.44744765010408;8.71779788708135;0.216692651278653;1.87082869338697;4.04145188432738;1.49666295470958
"S-C-P14-H2";0.0299655602041395;0.161039851036935;0;0;0;0;0;0.104675645197054;0.085352888968914;0.128743504696743;0;0.136676208775092;5.2820450584977;2.54950975679639;10.816653826392;5.29150262212918;2.54165300542777;8.71779788708135;0.678620892538296;1.73205080756888;3.74165738677394;1.18321595661992
"S-C-P14-H3";0.0299655602041395;0.156708671764864;0.463647609000806;0;0;0;0;0.114708530313698;0.085352888968914;0.105021432907778;0;0.136676208775092;5.29150262212918;2.60768096208106;13.5720300618588;3.74165738677394;2.51197133741609;8.71779788708135;0.39357531285191;1.73205080756888;3.26598632371091;0.979795897113271
"S-C-P15-H1";0.0423840485585749;0.156708671764864;0;0;0;0;0;0.0935904319454356;0.120854688457345;0.0741929800262361;0;0.11147930043405;5.41294744108974;2.32379000772445;15.8366663158633;3.3166247903554;2.52388589282479;9.2736184954957;0.398862017608733;1.58113883008419;5.09901951359278;1.03923048454133
"S-C-P15-H2";0.0423840485585749;0.156708671764864;0;0;0;0;0;0.0935904319454356;0.085352888968914;0;0;0.0787459546769796;5.39444158370447;2.23606797749979;15.241391012634;2.82842712474619;2.50399680510978;9.2736184954957;0.328645741571637;1.58113883008419;4.58257569495584;0.748331477354788
"S-C-P15-H3";0.0423840485585749;0.147678579632258;0.684719203002283;0;0;0;0;0.0935904319454356;0.085352888968914;0.105021432907778;0;0.157985579548826;5.3851648071345;2.32379000772445;15.5884572681199;4.58257569495584;2.56320112359526;9.2736184954957;0.300420884063055;1.22474487139159;3.26598632371091;1.07238052947636
"S-C-P16-H1";0.134394206455945;0;0;0;0.263871780465142;0.270648871043365;0.181325933454012;0.0330469447921279;0.085352888968914;0.0741929800262361;0;0.0787459546769796;5.60357029044876;2.66458251889485;11.7940663047144;2.82842712474619;2.54950975679639;8.71779788708135;0;1;6.32455532033676;3.49571165858971
"S-C-P16-H2";0.134394206455945;0;0;0;0.37777745578603;0.270648871043365;0.181325933454012;0;0;0;0;0;5.71839138219832;2.5298221281347;12.7357763799464;2.23606797749979;2.50998007960223;8.71779788708135;0;1;6.40312423743285;2.9086079144498
"S-C-P16-H3";0.134394206455945;0;0;0;0.37777745578603;0.24147093223851;0.181325933454012;0;0;0;0;0;5.77927331071996;2.70185121722126;12.5059985606908;3.46410161513775;2.60768096208106;8.71779788708135;0;1;6.48074069840786;4.33128156554154
"S-C-P17-H1";0.130971417646998;0.036793895949798;0;0;0;0.0846466725956981;0.156815685344401;0.0467439520582404;0.085352888968914;0.128743504696743;0;0.167657150219771;5.3665631459995;2.46981780704569;11.3092882180975;3.67423461417477;2.56904651573303;7;0.289520805350722;1.22474487139159;9.93310961716756;2.34520787991171
"S-C-P17-H2";0.134394206455945;0;0;0;0;0.0846466725956981;0.0902895900898906;0.0810220358996557;0.085352888968914;0.0741929800262361;0;0.167657150219771;5.39444158370447;2.75680975041804;11.3754120804479;3.82099463490856;2.55147016443461;7;0.323440030438554;1;8.36660026534076;1.84390889145858
"S-C-P17-H3";0.12745891080238;0;0;1.5707963267949;0;0.0846466725956981;0.0902895900898906;0.0572598539598177;0.085352888968914;0.0741929800262361;0;0;5.29150262212918;2.79284800875379;11.4280357017293;3.44963766213207;2.55342906696074;7;0.339109717029744;1;7.76745346515403;2.00748598998847
"S-C-P18-H1";0.134394206455945;0;0;0;0.203430740271083;0.0846466725956981;0.156815685344401;0;0.085352888968914;0;0;0;5.35723809439155;2.32379000772445;11.4324100696222;3.42052627529741;2.6153393661244;6.85565460040104;0.334178286104219;1;7.95822425754221;3.39116499156263
"S-C-P18-H2";0.0299655602041395;0.152258503309436;0.684719203002283;0;0;0;0.0902895900898906;0.0810220358996557;0.085352888968914;0.128743504696743;0;0.147704468023667;5.37587202228625;2.64575131106459;11.6876002669496;3.05286750449475;2.58843582110896;6.85565460040104;0.426750735358831;1;8.06225774829855;3.26802692767364
"S-C-P18-H3";0.0299655602041395;0.161039851036935;0;0;0;0;0;0.104675645197054;0;0.105021432907778;0;0.12470260049025;5.33853912601566;2.40831891575846;11.5758369027902;3.53553390593274;2.56904651573303;6.85565460040104;0.412673875500299;1;7.95822425754221;2.30217288664427
"S-C-P19-H1";0;0.16526140534953;0;0;0;0;0.0902895900898906;0.114708530313698;0.085352888968914;0.0741929800262361;0;0.0556529940802404;5.34789678284837;2.77488738510232;11.8194754536739;3.33166624979154;2.58843582110896;7.34846922834953;0.574674682540454;1.4142135623731;5.8878405775519;1.44913767461894
"S-C-P19-H2";0;0.16526140534953;0;0;0;0;0;0.114708530313698;0.085352888968914;0.128743504696743;0;0.0556529940802404;5.33853912601566;2.48997991959775;11.5758369027902;2.06639783197718;2.55734237050888;7.34846922834953;0.580454325265715;1.4142135623731;6.87992248018343;1.60934769394311
"S-C-P19-H3";0;0.16526140534953;0;0;0;0;0;0.114708530313698;0.085352888968914;0.0741929800262361;0;0.0964937348171228;5.34789678284837;2.48997991959775;11.1220501707194;2.97825452236709;2.57681974534503;7.34846922834953;0.651220554303803;1.4142135623731;6;1.63401346383682
"S-C-P20-H1";0.134394206455945;0;0;0;0;0;0.127863465955281;0.104675645197054;0.148197980260823;0.105021432907778;0;0.12470260049025;5.3103672189407;2.77488738510232;11.7770964163498;3.76828873628335;2.59036676939772;7;0.338837073785849;1.22474487139159;9.2736184954957;1.67332005306815
"S-C-P20-H2";0.134394206455945;0;0;0;0;0;0.127863465955281;0.104675645197054;0.148197980260823;0.105021432907778;0;0.12470260049025;5.3103672189407;2.68328157299975;11.2071405808975;3.00166620396073;2.62488094968134;7;0.356484151913532;1.22474487139159;9.03696114115064;1.51657508881031
"S-C-P20-H3";0.134394206455945;0;0;0;0;0;0.20301105453375;0.123944943796927;0.148197980260823;0.105021432907778;0;0.12470260049025;5.30094331227943;2.28035085019828;11.7770964163498;3.71483512420134;2.58456959666402;7;0.406625030395222;1.22474487139159;10.4880884817015;2.30217288664427
"C-B-P05-H1";0.134394206455945;0;0;0;0.11690849646625;0.0846466725956981;0.156815685344401;0.104675645197054;0.085352888968914;0.105021432907778;0;0.167657150219771;0;0;11.3490087672889;1.4142135623731;2.19317121994613;10.3474634572923;0.400427350549233;1.22474487139159;3;2.73861278752583
"C-B-P05-H2";0.134394206455945;0;0;0;0.165714636722299;0.0846466725956981;0.0902895900898906;0.0935904319454356;0.085352888968914;0.0741929800262361;0;0.11147930043405;0;0;11.7430830704717;1.73205080756888;2.20680764907139;10.3474634572923;0.198863101371939;1.22474487139159;3.60555127546399;2.08566536146142
"C-B-P05-H3";0.134394206455945;0;0;0;0.11690849646625;0.119852302420205;0.127863465955281;0.104675645197054;0.085352888968914;0.128743504696743;0;0.136676208775092;0;0;10.9178752511649;1.73205080756888;2.17255609824004;10.3474634572923;0.401674455879348;1.4142135623731;3.74165738677394;3.76031913539263
"C-B-P06-H1";0.134394206455945;0;0;0;0;0.119852302420205;0.127863465955281;0.104675645197054;0.19179696150496;0.128743504696743;0;0.11147930043405;0;0;11.9498953970317;2;2.14009345590327;10.6226173799116;0.274348680614414;1.73205080756888;5;2.21359436211787
"C-B-P06-H2";0.134394206455945;0;0;0;0;0.119852302420205;0.127863465955281;0.104675645197054;0.19179696150496;0.128743504696743;0;0.11147930043405;0;0;12.169634341261;2;2.13307290077015;10.6226173799116;0.307619506956001;1.73205080756888;5.62731433871138;3.03315017762062
"C-B-P06-H3";0.134394206455945;0;0;0;0;0.146965799338729;0.0902895900898906;0.132551532296674;0.085352888968914;0.105021432907778;0;0.11147930043405;0;0;12.3369364106329;1.73205080756888;2.18403296678416;10.6226173799116;0.490054791188654;1.58113883008419;4.04145188432738;0.812403840463596
"C-B-P07-H1";0.134394206455945;0;0;0;0;0.146965799338729;0.127863465955281;0.123944943796927;0.120854688457345;0.128743504696743;0;0.136676208775092;0;0;12.4257796536073;2.64575131106459;2.25388553391693;9.43647179829411;0.430616376344606;1.58113883008419;4.69041575982343;1.44913767461894
"C-B-P07-H2";0.134394206455945;0;0;0;0;0;0.127863465955281;0.114708530313698;0.120854688457345;0.105021432907778;0;0.11147930043405;0;0;12.3531372533458;1.73205080756888;2.12837966537928;9.43647179829411;0.454612551077601;1.58113883008419;4.58257569495584;1.18321595661992
"C-B-P07-H3";0.134394206455945;0;0;0;0;0.146965799338729;0.0902895900898906;0.128318825583499;0.148197980260823;0.148798345176716;0;0.12470260049025;0;0;11.4367827643966;2.44948974278318;2.17715410570772;9.43647179829411;0.449986339907733;1.73205080756888;6.40312423743285;1.78885438199983
"C-B-P08-H1";0.134394206455945;0;0;0;0;0.146965799338729;0.127863465955281;0.0739491453337472;0.120854688457345;0.105021432907778;0.388768413744266;0.0964937348171228;0;0;12.1983605455815;2;2.23383079036887;9.4371076077366;0;1;7.02376916856849;4
"C-B-P08-H2";0.134394206455945;0;0;0;0;0.146965799338729;0.127863465955281;0.0739491453337472;0.120854688457345;0.105021432907778;0.388768413744266;0.0964937348171228;0;0;11.8995798245148;2.23606797749979;2.28254244210267;9.4371076077366;0;1;7.02376916856849;4
"C-B-P08-H3";0.0299655602041395;0.161039851036935;0;0;0;0.146965799338729;0.0902895900898906;0.104675645197054;0.120854688457345;0.0741929800262361;0.298001219593757;0.0556529940802404;0;0;12.3571841452655;2.44948974278318;2.2293496809608;9.4371076077366;0.321649605649785;1;5.32290647422377;1.53622914957372
"C-B-P09-H1";0.0423840485585749;0.156708671764864;0;0;0;0;0.127863465955281;0.132551532296674;0.120854688457345;0.105021432907778;0;0.0964937348171228;0;0;11.827933040054;3.3166247903554;2.33023603954621;8.42751446157169;0.434988228290356;1.22474487139159;5.32290647422377;1.37840487520902
"C-B-P09-H2";0.0299655602041395;0.161039851036935;0;0;0;0;0.0902895900898906;0.123944943796927;0.085352888968914;0.0741929800262361;0;0.0964937348171228;0;0;10.9909053312273;3.46410161513775;2.34520787991171;8.42751446157169;0.570497905385129;1.22474487139159;4.96655480858378;1.4142135623731
"C-B-P09-H3";0.0299655602041395;0.161039851036935;0;0;0;0;0;0.114708530313698;0.085352888968914;0.105021432907778;0;0.11147930043405;0;0;11.7601020403736;3.87298334620742;2.30651251893416;8.42751446157169;0.415093231329627;1.22474487139159;5.3851648071345;1.58113883008419
"C-B-P10-H1";0.0599580698929003;0.147678579632258;0;0;0;0.146965799338729;0.0902895900898906;0.0330469447921279;0.085352888968914;0.105021432907778;0.170338414861454;0.0556529940802404;0;0;10.2469507659596;3.16227766016838;2.37486841740758;6.44003105582574;0.238704958013144;1;5.03322295684716;2.93257565972304
"C-B-P10-H2";0.0423840485585749;0.156708671764864;0;0;0;0.190194372819235;0.127863465955281;0;0;0;0;0;0;0;12.0124934963562;4.24264068711928;2.30867927612304;6.44003105582574;0.344776345016896;1;5.8309518948453;3.19374388453426
"C-B-P10-H3";0.134394206455945;0;0;0;0.11690849646625;0.270648871043365;0;0;0;0;0;0;0;0;11.4978258814438;3.46410161513775;2.3;6.44003105582574;0;1;5.47722557505166;2.21359436211787
"C-C-P11-H1";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9.79795897113271;0;0;0;0
"C-C-P11-H2";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9.79795897113271;0;0;0;0
"C-C-P11-H3";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9.79795897113271;0;0;0;0
"C-C-P12-H1";0.12745891080238;0.0520461808146089;0;0;0;0;0.0902895900898906;0.132551532296674;0.085352888968914;0.105021432907778;0;0.12470260049025;0;0;9.23038460737146;18.6010752377383;2.36008474424119;8.94427190999916;0.584106569451404;1;3.69684550213648;1.18321595661992
"C-C-P12-H2";0.12745891080238;0.0520461808146089;0;0;0;0;0.0902895900898906;0.132551532296674;0.085352888968914;0.105021432907778;0;0.12470260049025;0;0;10.3489129863962;8.30662386291807;2.343074902772;8.94427190999916;0.584106569451404;1;3.69684550213648;1.18321595661992
"C-C-P12-H3";0.12745891080238;0.0520461808146089;0;0;0;0;0;0.128318825583499;0.085352888968914;0.0741929800262361;0;0.157985579548826;0;0;10.2371871136558;6.32455532033676;2.31300670124408;8.94427190999916;0.766739510380394;1.4142135623731;4.76095228569524;1.37840487520902
"C-C-P13-H1";0.12745891080238;0.0520461808146089;0;0;0;0;0.127863465955281;0.123944943796927;0.085352888968914;0.128743504696743;0;0.12470260049025;0;0;9.09120454065357;3;2.3473389188611;9.32737905308882;0.624756002333079;1.4142135623731;5.06622805119022;1.3228756555323
"C-C-P13-H2";0.12745891080238;0.0520461808146089;0;0;0;0;0.127863465955281;0.132551532296674;0.085352888968914;0.105021432907778;0;0.147704468023667;0;0;8.84872872225158;4.58257569495584;2.39374184071716;9.32737905308882;0.650668906128303;1.4142135623731;6.02771377334171;1.92353840616713
"C-C-P13-H3";0.12745891080238;0.0520461808146089;0;0;0;0;0.156815685344401;0.132551532296674;0.085352888968914;0.0741929800262361;0;0.136676208775092;0;0;9.10659101969557;4.47213595499958;2.44131112314674;9.32737905308882;0.476082533204574;1.4142135623731;5.06622805119022;1.70293863659264
"C-C-P14-H1";0;0.16526140534953;0;0;0;0;0.127863465955281;0.136656187888186;0.085352888968914;0.105021432907778;0;0.0964937348171228;0;0;13.457340004622;6.40312423743285;2.46373699895098;8.71779788708135;0.621027319149067;1.87082869338697;4.79583152331272;1.44913767461894
"C-C-P14-H2";0;0.16526140534953;0;0;0;0;0.0902895900898906;0.123944943796927;0.085352888968914;0.0741929800262361;0;0.0787459546769796;0;0;10.770329614269;5.74456264653803;2.45356882927706;8.71779788708135;0.572196463869476;1.87082869338697;3.78593889720018;2.58843582110896
"C-C-P14-H3";0.0734553873769661;0.13807742349112;0;0;0;0;0.156815685344401;0.123944943796927;0.085352888968914;0.105021432907778;0;0.136676208775092;0;0;9.60468635614927;6.6332495807108;2.44335834457412;8.71779788708135;0.631733962452431;1.58113883008419;6.37704215656967;2.30217288664427
"C-C-P15-H1";0.0299655602041395;0.161039851036935;0;0;0;0;0;0.104675645197054;0.120854688457345;0.166516845834951;0;0.0787459546769796;0;0;15.0432709209134;2.44948974278318;2.46170672501823;9.2736184954957;0.519274117040952;1.58113883008419;3.6514837167011;1.04880884817015
"C-C-P15-H2";0;0.16526140534953;0;0;0;0.0846466725956981;0;0.114708530313698;0.085352888968914;0.0741929800262361;0;0.0787459546769796;0;0;13.1339255365637;2.82842712474619;2.45560583156173;9.2736184954957;0.549887088351059;1.58113883008419;4.58257569495584;1.14017542509914
"C-C-P15-H3";0.0423840485585749;0.156708671764864;0;0;0;0;0;0.123944943796927;0.120854688457345;0.105021432907778;0;0.11147930043405;0;0;14.5945195193264;4;2.49599679486974;9.2736184954957;0.493006648591635;1.58113883008419;3.36650164612069;1.06770782520313
"C-C-P16-H1";0;0.16526140534953;0;0;0;0.146965799338729;0.156815685344401;0;0;0;0;0.0556529940802404;0;0;14.5773797371133;2.64575131106459;2.63248931621764;8.71779788708135;0;1;5.19615242270663;0
"C-C-P16-H2";0.134394206455945;0;0;0;0;0.24147093223851;0.181325933454012;0;0;0;0;0.0787459546769796;0;0;11.8869676536954;4.47213595499958;2.50399680510978;8.71779788708135;0;1;3.74610909255634;0
"C-C-P16-H3";0.134394206455945;0;0;0;0;0.24147093223851;0.0902895900898906;0;0.085352888968914;0;0;0;0;0;10.4546640309481;4;2.49399278266799;8.71779788708135;0;1;5.8309518948453;5.14392845984467
"C-C-P17-H1";0.134394206455945;0;0;0;0;0.119852302420205;0.127863465955281;0.0739491453337472;0;0.105021432907778;0;0.147704468023667;0;0;10.5309068935206;7.81024967590665;2.51197133741609;7;0.61618727544822;1.58113883008419;5;2.40831891575846
"C-C-P17-H2";0.134394206455945;0;0;0;0;0.0846466725956981;0.127863465955281;0.0810220358996557;0;0.128743504696743;0;0.12470260049025;0;0;11.1758668567588;7.14142842854285;2.50599281722833;7;0.712470499879097;1.73205080756888;3.96106046406767;2.21359436211787
"C-C-P17-H3";0.134394206455945;0;0;0;0;0.0846466725956981;0.156815685344401;0.0572598539598177;0;0.128743504696743;0;0.0556529940802404;0;0;10.7888831674089;6.32455532033676;2.50998007960223;7;0.662702310406287;1.87082869338697;7.52772652709081;2.40831891575846
"C-C-P18-H1";0.134394206455945;0;0;0;0.165714636722299;0.119852302420205;0.181325933454012;0;0;0;0;0;0;0;10.9316055545377;6.40312423743285;2.51992063367083;6.85565460040104;0.365929856505538;1;6.67083203206317;4.49444101084885
"C-C-P18-H2";0.134394206455945;0;0;0;0;0.0846466725956981;0.127863465955281;0.104675645197054;0.120854688457345;0.0741929800262361;0;0.136676208775092;0;0;10.2420701032555;6.48074069840786;2.5;6.85565460040104;0.232025431380995;1;6.73300329224138;5.8821764679411
"C-C-P18-H3";0.134394206455945;0;0;0;0;0.0846466725956981;0.127863465955281;0.123944943796927;0.120854688457345;0.0741929800262361;0;0.136676208775092;0;0;10.0399203184089;8;2.45967477524977;6.85565460040104;0.232025431380995;1;4.24264068711928;5.8821764679411
"C-C-P19-H1";0.0299655602041395;0.161039851036935;0;0;0;0;0;0.123944943796927;0.085352888968914;0.0741929800262361;0;0;0;0;11.7046999107196;3.74165738677394;2.59422435421457;7.34846922834953;0.620685437857454;1.87082869338697;6.37704215656967;1.81659021245849
"C-C-P19-H2";0;0.16526140534953;0;0;0;0;0;0.104675645197054;0;0.105021432907778;0;0;0;0;11.2427754580442;3.46410161513775;2.53574446662119;7.34846922834953;0.653520993415403;1.58113883008419;8;1.61245154965971
"C-C-P19-H3";0.0299655602041395;0.161039851036935;0;0;0;0;0;0.123944943796927;0.085352888968914;0.0741929800262361;0;0;0;0;11.1713920350152;3.3166247903554;2.64386081328046;7.34846922834953;0.74654192163892;1.58113883008419;7.37111479583199;1.18321595661992
"C-C-P20-H1";0.0299655602041395;0.161039851036935;0;0;0;0;0.0902895900898906;0.0935904319454356;0;0.105021432907778;0;0.0787459546769796;0;0;11.2205169221387;3;2.58263431402899;7;0.502900036927951;1.4142135623731;7.14142842854285;1.87082869338697
"C-C-P20-H2";0.0299655602041395;0.161039851036935;0;0;0;0;0;0.132551532296674;0.085352888968914;0.128743504696743;0;0.0556529940802404;0;0;11.8152443901935;2.82842712474619;2.72946881279124;7;0.537370416992969;1.4142135623731;7.93725393319377;1.54919333848297
"C-C-P20-H3";0.12745891080238;0.0520461808146089;0;0;0;0;0;0.132551532296674;0;0.128743504696743;0;0.0964937348171228;0;0;11.6961532137708;3.60555127546399;2.68141753555838;7;0.608258874453099;1.73205080756888;6.557438524302;1.70293863659264
